S,Cluster_size_B2,Cluster_Prob_B2
6554,1,0.812984
6554,2,0.152047
6554,3,0.0279694
6554,4,0.0055188
6554,5,0.00117035
6554,6,0.000241699
6554,7,5.5542e-05
6554,8,9.76563e-06
6554,10,3.05176e-06
13107,1,0.650751
13107,2,0.227482
13107,3,0.0757773
13107,4,0.0278088
13107,5,0.0110153
13107,6,0.00433044
13107,7,0.00169617
13107,8,0.000698242
13107,9,0.000282898
13107,10,7.32422e-05
13107,11,5.0354e-05
13107,12,2.19727e-05
13107,13,7.93457e-06
13107,14,4.27246e-06
19661,1,0.510454
19661,2,0.252134
19661,3,0.113857
19661,4,0.0566064
19661,5,0.0304611
19661,6,0.0167725
19661,7,0.0092157
19661,8,0.00468994
19661,9,0.00265045
19661,10,0.00146484
19661,11,0.000839233
19661,12,0.00041748
19661,13,0.000174561
19661,14,0.000111084
19661,15,7.32422e-05
19661,16,2.92969e-05
19661,17,3.11279e-05
19661,18,5.49316e-06
19661,19,5.79834e-06
19661,20,6.10352e-06
26214,1,0.38965
26214,2,0.245272
26214,3,0.132773
26214,4,0.0786853
26214,5,0.0501312
26214,6,0.0335339
26214,7,0.0224069
26214,8,0.0158154
26214,9,0.010437
26214,10,0.00688171
26214,11,0.00480713
26214,12,0.00313477
26214,13,0.00218597
26214,14,0.00143127
26214,15,0.000915527
26214,16,0.000698242
26214,17,0.000347595
26214,18,0.000280151
26214,19,0.000249329
26214,20,0.000109863
26214,21,7.04956e-05
26214,22,7.38525e-05
26214,23,4.21143e-05
26214,24,3.66211e-05
26214,25,2.28882e-05
26214,26,7.93457e-06
32768,1,0.283425
32768,2,0.224907
32768,3,0.135125
32768,4,0.088291
32768,5,0.0616837
32768,6,0.045661
32768,7,0.0359015
32768,8,0.0275415
32768,9,0.0215771
32768,10,0.0173737
32768,11,0.0129947
32768,12,0.0101733
32768,13,0.007883
32768,14,0.00610962
32768,15,0.00506287
32768,16,0.00378418
32768,17,0.00284302
32768,18,0.00220276
32768,19,0.00142639
32768,20,0.00134888
32768,21,0.00101898
32768,22,0.000785522
32768,23,0.000701904
32768,24,0.000549316
32768,25,0.000419617
32768,26,0.000245972
32768,27,0.000214233
32768,28,0.000145264
32768,29,0.000132751
32768,30,0.000146484
32768,31,5.67627e-05
32768,32,5.85937e-05
32768,33,3.02124e-05
32768,34,5.18799e-05
32768,35,4.27246e-05
32768,36,2.19727e-05
32768,37,2.2583e-05
32768,41,1.25122e-05
32768,42,1.28174e-05
32768,45,1.37329e-05
39321,1,0.185946
39321,2,0.203655
39321,3,0.126418
39321,4,0.08776
39321,5,0.0657242
39321,6,0.0504382
39321,7,0.0415796
39321,8,0.0348975
39321,9,0.0291248
39321,10,0.024826
39321,11,0.0217194
39321,12,0.0187976
39321,13,0.0156827
39321,14,0.0132104
39321,15,0.0116547
39321,16,0.0103369
39321,17,0.00853943
39321,18,0.00736633
39321,19,0.00607666
39321,20,0.00524902
39321,21,0.00472321
39321,22,0.00365906
39321,23,0.00336212
39321,24,0.00260742
39321,25,0.00214386
39321,26,0.00194397
39321,27,0.00166443
39321,28,0.00153809
39321,29,0.00130981
39321,30,0.00110779
39321,31,0.000889282
39321,32,0.00078125
39321,33,0.000725098
39321,34,0.000581055
39321,35,0.00055542
39321,36,0.000549316
39321,37,0.000508118
39321,38,0.0003479
39321,39,0.000202332
39321,40,0.000195313
39321,41,0.000250244
39321,42,0.000217896
39321,43,0.000209961
39321,44,0.000161133
39321,45,0.000123596
39321,46,0.000154419
39321,47,2.86865e-05
39321,48,2.92969e-05
39321,49,4.48608e-05
39321,50,7.62939e-05
39321,51,1.5564e-05
39321,52,6.34766e-05
39321,53,4.85229e-05
39321,54,3.2959e-05
39321,55,3.35693e-05
39321,59,1.80054e-05
39321,60,3.66211e-05
39321,61,3.72314e-05
39321,62,1.89209e-05
45875,1,0.085827
45875,2,0.194467
45875,3,0.11045
45875,4,0.0809961
45875,5,0.0648071
45875,6,0.0523956
45875,7,0.0419193
45875,8,0.0356152
45875,9,0.031344
45875,10,0.0280853
45875,11,0.0246063
45875,12,0.0214307
45875,13,0.0199118
45875,14,0.0181152
45875,15,0.0160721
45875,16,0.0151953
45875,17,0.0134421
45875,18,0.0120959
45875,19,0.0115213
45875,20,0.0102478
45875,21,0.00950409
45875,22,0.00863403
45875,23,0.00769287
45875,24,0.00711914
45875,25,0.00669098
45875,26,0.00603821
45875,27,0.00560303
45875,28,0.00448608
45875,29,0.00426575
45875,30,0.00432129
45875,31,0.00369904
45875,32,0.00317383
45875,33,0.00274933
45875,34,0.00283264
45875,35,0.00303345
45875,36,0.00210938
45875,37,0.00200989
45875,38,0.00194824
45875,39,0.00155914
45875,40,0.00186768
45875,41,0.00162659
45875,42,0.00106384
45875,43,0.00140411
45875,44,0.00146362
45875,45,0.00115356
45875,46,0.00105286
45875,47,0.000831909
45875,48,0.000981445
45875,49,0.000837402
45875,50,0.000610352
45875,51,0.000560303
45875,52,0.000888672
45875,53,0.000646973
45875,54,0.000593262
45875,55,0.000553894
45875,56,0.000700684
45875,57,0.000608826
45875,58,0.000460205
45875,59,0.000360107
45875,60,0.000439453
45875,61,0.000502625
45875,62,0.000473022
45875,63,0.000307617
45875,64,0.000371094
45875,65,0.000198364
45875,66,0.000281982
45875,67,0.000245361
45875,68,0.000186768
45875,69,0.000126343
45875,70,0.000192261
45875,71,0.000195007
45875,72,0.000219727
45875,73,0.000245056
45875,74,0.00022583
45875,75,9.15527e-05
45875,76,4.63867e-05
45875,77,9.39941e-05
