B,CostU_S15000
0,1215.4275
1,2123.3125
2,1586.0625
3,1587.8075
4,1543.5975
5,1545.72125
6,1533.76125
7,1538.83625
8,1530.39125
9,1541.76875
10,1531.6775
11,1534.41125
12,1539.895
13,1533.62375
14,1537.36
15,1534.485
