B,CostU_S10000
0,312.66
1,407.3385
2,407.3385
3,410.015
4,408.23875
5,407.3385
6,404.685
7,402.75875
8,404.13125
9,404.445
10,405.15
11,408.3325
12,404.1575
13,403.165
14,404.265
15,403.75
