B,CostU_S20000
0,3362.46375
1,5840.95
2,4277.62
3,4341.5575
4,4157.33125
5,4154.055
6,4114.93
7,4120.5775
8,4113.26375
9,4122.32
10,4116.2625
11,4117.35375
12,4120.48875
13,4107.96125
14,4109.20875
15,4107.6775
