B,CostU_S32768
0,22316.3775
1,36702.125
2,26761.5325
3,28623.9525
4,26183.88375
5,27122.83
6,26268.295
7,26681.16625
8,26440.3975
9,26661.52375
10,26599.92
11,26712.65875
12,26677.6325
13,26732.4475
14,26710.08375
15,26820.98375
