B,CostU_S35000
0,29509.66875
1,47868.5
2,35030.8925
3,37692.58875
4,34325.6975
5,35893.505
6,34576.41875
7,35262.1775
8,34910.62125
9,35343.21375
10,35148.86375
11,35416.0625
12,35323.51
13,35619.44875
14,35500.6925
15,35686.44125
